Step,Row_px,Col_px,Elevation_m,Slope_TMC_deg (A*_safety),Slope_LOLA_deg (reference)
604,1022,524,-331.51,25.74,35.83
605,1022,522,-331.73,43.95,36.18
606,1022,520,-330.77,47.03,35.84
607,1022,518,-329.31,29.67,34.55
608,1022,516,-327.90,24.05,33.29
609,1022,514,-325.91,37.73,32.35
610,1022,512,-324.36,45.11,31.55
611,1022,510,-323.40,44.66,30.95
612,1022,508,-321.41,43.63,30.10
613,1020,506,-324.30,34.05,33.43
614,1020,504,-325.86,50.59,31.51
615,1020,502,-326.32,17.84,29.28
616,1020,500,-325.67,61.69,27.30
617,1020,498,-324.73,43.17,26.39
618,1020,496,-324.86,12.93,27.89
619,1020,494,-325.48,45.64,29.63
620,1020,492,-325.59,43.33,29.07
621,1020,490,-324.26,11.57,26.94
622,1020,488,-323.41,28.69,25.98
623,1020,486,-322.40,40.67,27.60
624,1020,484,-321.35,22.33,29.42
625,1020,482,-319.77,4.61,29.17
626,1020,480,-317.82,39.60,28.57
627,1020,478,-315.81,29.56,31.85
628,1018,476,-317.78,47.74,36.10
629,1018,474,-312.65,50.23,36.93
630,1018,472,-310.22,43.17,33.23
631,1018,470,-308.33,37.27,28.06
632,1018,468,-303.97,36.80,25.37
633,1016,466,-305.51,27.13,30.39
634,1014,464,-308.29,39.32,29.24
635,1012,462,-310.81,9.73,27.31
636,1010,460,-312.26,18.93,26.27
637,1010,458,-310.85,40.41,25.55
638,1010,456,-308.58,22.49,27.53
639,1010,454,-305.97,28.87,31.00
640,1010,452,-302.73,59.89,33.89
641,1010,450,-299.30,13.25,34.46
642,1010,448,-300.62,60.07,32.20
643,1010,446,-303.36,25.52,28.05
644,1012,444,-295.95,27.80,24.30
645,1012,442,-296.53,60.91,19.10
646,1012,440,-295.45,57.24,19.30
647,1012,438,-295.13,37.70,28.29
648,1012,436,-296.27,29.08,38.71
649,1014,434,-289.69,22.71,44.64
650,1014,432,-290.25,27.14,45.95
651,1014,430,-286.50,40.85,42.34
652,1014,428,-280.06,46.74,34.05
653,1014,426,-285.61,59.51,28.17
654,1014,424,-284.19,69.52,25.30
655,1014,422,-282.56,57.15,25.22
656,1012,420,-280.94,77.18,32.29
657,1012,418,-281.19,72.96,33.58
658,1012,416,-282.35,56.99,35.69
659,1012,414,-280.92,50.60,33.63
660,1012,412,-280.28,57.58,27.20
661,1012,410,-278.52,30.77,24.28
662,1012,408,-276.76,51.83,25.98
663,1012,406,-274.78,66.22,29.35
664,1012,404,-270.61,63.45,30.93
665,1012,402,-269.39,43.89,33.03
666,1012,400,-272.45,42.65,37.27
667,1012,398,-271.89,40.12,38.62
668,1012,396,-273.59,44.54,36.70
669,1012,394,-263.08,52.02,32.88
670,1012,392,-259.01,59.86,24.24
671,1014,390,-258.76,74.50,14.53
672,1014,388,-258.08,66.24,22.99
673,1014,386,-261.64,44.53,30.91
674,1014,384,-258.48,33.70,36.29
675,1014,382,-251.56,23.17,35.21
676,1014,380,-254.50,46.54,33.36
677,1014,378,-252.49,59.77,33.47
678,1014,376,-250.91,54.05,35.04
679,1016,374,-240.92,48.47,36.95
680,1016,372,-241.09,27.42,31.25
681,1016,370,-240.55,21.77,28.42
682,1016,368,-239.09,49.03,28.58
683,1016,366,-237.21,64.81,29.29
684,1016,364,-234.88,66.40,30.74
685,1016,362,-235.34,59.87,32.01
686,1016,360,-235.53,44.73,30.67
687,1016,358,-230.99,21.18,28.02
688,1016,356,-231.14,61.28,28.42
689,1016,354,-228.84,64.92,32.22
690,1016,352,-228.16,32.50,36.06
691,1016,350,-225.73,48.79,40.88
692,1016,348,-219.74,18.22,43.96
693,1018,346,-212.82,33.65,38.95
694,1018,344,-210.99,53.53,34.68
695,1018,342,-208.18,43.81,31.26
696,1018,340,-208.39,22.33,30.60
697,1018,338,-207.98,46.49,32.28
698,1018,336,-204.55,44.96,34.92
